,date,value
0,20190901,587.0833333333334
1,20190902,585.1851851851852
2,20190903,579.5238095238095
3,20190904,579.7916666666666
4,20190905,576.829268292683
5,20190906,587.7272727272727
6,20190907,581.219512195122
7,20190908,586.0
8,20190909,582.3529411764706
9,20190910,589.8630136986301
10,20190911,597.0588235294117
11,20190912,608.5
12,20190913,613.859649122807
13,20190914,615.8490566037735
14,20190915,601.4814814814815
15,20190916,591.1428571428571
16,20190917,578.0
17,20190918,579.2857142857143
18,20190919,584.8148148148148
19,20190920,584.0909090909091
20,20190921,587.2549019607843
21,20190922,594.2105263157895
22,20190923,571.0526315789474
23,20190924,571.6666666666666
24,20190925,573.5714285714286
25,20190926,584.6666666666666
26,20190927,586.1764705882352
27,20190928,584.1176470588235
28,20190929,585.0
29,20190930,568.75
30,20191001,579.3103448275862
31,20191002,589.7142857142857
32,20191003,576.2857142857143
33,20191004,590.3571428571429
34,20191005,583.2727272727273
35,20191006,582.5925925925926
36,20191007,582.1428571428571
37,20191008,581.6
38,20191009,582.5
39,20191010,585.3333333333334
40,20191011,594.4444444444445
41,20191012,587.6271186440678
42,20191013,591.7777777777778
43,20191014,590.0
44,20191015,587.1052631578947
45,20191016,574.7058823529412
46,20191017,584.1666666666666
47,20191018,586.060606060606
48,20191019,583.75
49,20191020,588.4615384615385
50,20191021,580.0
51,20191022,566.7741935483871
52,20191023,562.5
53,20191024,599.4029850746268
54,20191025,594.5283018867924
55,20191026,596.4814814814815
56,20191027,605.1063829787234
57,20191028,593.5135135135135
58,20191029,592.6086956521739
59,20191030,584.2857142857143
60,20191031,575.0
61,20191101,583.1428571428571
62,20191102,588.3333333333334
63,20191103,594.7272727272727
64,20191104,583.25
65,20191105,577.2222222222222
66,20191106,575.7142857142857
67,20191107,580.0
68,20191108,588.6
69,20191109,594.4897959183673
70,20191110,595.5
71,20191111,594.3333333333334
72,20191112,588.7037037037037
73,20191113,595.3448275862069
74,20191114,593.0769230769231
75,20191115,582.0
76,20191116,591.578947368421
77,20191117,588.75
78,20191118,586.6666666666666
79,20191119,572.5
80,20191120,574.1666666666666
81,20191121,573.0
82,20191122,549.1666666666666
83,20191123,545.925925925926
84,20191124,568.5
85,20191125,515.6666666666666
86,20191126,521.4705882352941
87,20191127,505.0
88,20191201,492.85714285714283
89,20191202,460.5263157894737
90,20191203,478.8888888888889
91,20191204,451.0
92,20191205,450.0
93,20191206,454.2857142857143
94,20191207,455.55555555555554
95,20191208,448.3333333333333
96,20191209,437.89473684210526
97,20191210,455.7894736842105
98,20191211,475.0
99,20191212,493.8666666666667
100,20191213,506.8181818181818
101,20191214,524.5
102,20191215,507.77777777777777
103,20191216,506.0
104,20191217,499.04761904761904
105,20191218,506.15384615384613
106,20191219,506.9230769230769
107,20191220,498.125
108,20191221,492.22222222222223
109,20191222,473.3333333333333
110,20191223,469.04761904761904
111,20191224,465.0
112,20191225,478.2352941176471
113,20191226,495.80645161290323
114,20191227,485.0
115,20191228,485.55555555555554
116,20191229,488.75
117,20191230,492.14285714285717
118,20191231,508.93617021276594
119,20200101,602.2222222222222
120,20200102,592.5
121,20200103,597.8571428571429
122,20200104,602.0
123,20200105,605.46875
124,20200106,610.4347826086956
125,20200107,622.4418604651163
126,20200108,642.8
127,20200109,645.0
128,20200110,647.0588235294117
129,20200111,658.5714285714286
130,20200112,660.0
131,20200113,665.2380952380952
132,20200114,694.8125
133,20200115,629.2307692307693
134,20200116,663.9090909090909
135,20200117,668.695652173913
136,20200118,679.8148148148148
137,20200119,667.9411764705883
138,20200120,675.0
139,20200121,672.2222222222222
140,20200122,688.7179487179487
141,20200123,771.5217391304348
142,20200124,815.0
143,20200125,778.8461538461538
144,20200126,766.4516129032259
145,20200127,775.1351351351351
146,20200128,780.2439024390244
147,20200129,786.0869565217391
148,20200130,791.3157894736842
149,20200131,808.7272727272727
150,20200201,834.9166666666666
151,20200202,823.125
152,20200203,824.1666666666666
153,20200204,832.2222222222222
154,20200205,836.6071428571429
155,20200206,862.0
156,20200207,856.1333333333333
157,20200208,877.6551724137931
158,20200209,875.0
159,20200210,853.8461538461538
160,20200211,871.4
161,20200212,871.2307692307693
162,20200213,890.0
163,20200214,852.24
164,20200215,892.5454545454545
165,20200216,888.2352941176471
166,20200217,870.625
167,20200218,869.1111111111111
168,20200219,866.15
169,20200220,887.7777777777778
170,20200221,884.7058823529412
171,20200222,888.8461538461538
172,20200223,892.9285714285714
173,20200224,890.0370370370371
174,20200225,894.1351351351351
175,20200226,895.7142857142857
176,20200227,902.2727272727273
177,20200228,905.4545454545455
178,20200229,896.3421052631579
179,20200301,912.4761904761905
180,20200302,878.1818181818181
181,20200303,884.1666666666666
182,20200304,866.9047619047619
183,20200305,888.75
184,20200306,889.6551724137931
185,20200307,899.1666666666666
186,20200308,899.5238095238095
187,20200309,893.5714285714286
188,20200310,882.9411764705883
189,20200311,885.7894736842105
190,20200312,899.2
191,20200313,896.0
192,20200314,893.1875
193,20200315,900.625
194,20200316,903.75
195,20200317,876.6666666666666
196,20200318,877.0
197,20200319,837.3684210526316
198,20200320,882.0
199,20200321,879.2307692307693
200,20200322,891.3333333333334
201,20200323,880.0
202,20200324,869.3333333333334
203,20200325,873.8461538461538
204,20200326,878.2352941176471
205,20200327,891.1111111111111
206,20200328,892.3076923076923
207,20200329,861.5
208,20200330,832.7272727272727
209,20200331,898.695652173913
210,20200401,820.3
211,20200402,810.0
212,20200403,894.2857142857143
213,20200404,880.0
214,20200405,838.8888888888889
215,20200406,876.4
216,20200407,870.0
217,20200408,799.0909090909091
218,20200409,870.0
219,20200410,820.0
220,20200411,855.0
221,20200412,815.0
222,20200413,853.9230769230769
223,20200414,856.0
224,20200415,859.1666666666666
225,20200416,851.4285714285714
226,20200417,808.375
227,20200418,809.7272727272727
228,20200419,859.875
229,20200420,858.2857142857143
230,20200421,850.8
231,20200422,851.5714285714286
232,20200423,867.7777777777778
233,20200424,869.375
234,20200425,864.4117647058823
235,20200426,870.0
236,20200427,866.25
237,20200428,862.2222222222222
238,20200429,854.0
239,20200430,867.7777777777778
240,20200501,853.5416666666666
241,20200502,867.9444444444445
242,20200503,860.0
243,20200504,852.0
244,20200505,845.0
245,20200506,856.0
246,20200507,853.75
247,20200508,857.5
248,20200509,868.1818181818181
249,20200510,870.7142857142857
250,20200511,865.625
251,20200512,872.8571428571429
252,20200513,880.952380952381
253,20200514,882.0909090909091
254,20200515,879.6
255,20200516,890.8333333333334
256,20200517,885.7142857142857
257,20200518,880.8333333333334
258,20200519,790.4545454545455
259,20200520,888.421052631579
260,20200521,887.5
261,20200522,897.0
262,20200523,915.3333333333334
263,20200524,893.6842105263158
264,20200525,889.2307692307693
265,20200526,900.0
266,20200527,897.1428571428571
267,20200528,893.3333333333334
268,20200529,900.0
269,20200530,897.0370370370371
270,20200531,892.5
271,20200601,888.3333333333334
272,20200602,888.5714285714286
