date,value
20190901,587.0833333333334
20190902,585.1851851851852
20190903,579.5238095238095
20190904,579.7916666666666
20190905,576.829268292683
20190906,587.7272727272727
20190907,581.219512195122
20190908,586.0
20190909,582.3529411764706
20190910,589.8630136986301
20190911,597.0588235294117
20190912,608.5
20190913,613.859649122807
20190914,615.8490566037735
20190915,601.4814814814815
20190916,591.1428571428571
20190917,578.0
20190918,579.2857142857143
20190919,584.8148148148148
20190920,584.0909090909091
20190921,587.2549019607843
20190922,594.2105263157895
20190923,571.0526315789474
20190924,571.6666666666666
20190925,573.5714285714286
20190926,584.6666666666666
20190927,586.1764705882352
20190928,584.1176470588235
20190929,585.0
20190930,568.75
20191001,579.3103448275862
20191002,589.7142857142857
20191003,576.2857142857143
20191004,590.3571428571429
20191005,583.2727272727273
20191006,582.5925925925926
20191007,582.1428571428571
20191008,581.6
20191009,582.5
20191010,585.3333333333334
20191011,594.4444444444445
20191012,587.6271186440678
20191013,591.7777777777778
20191014,590.0
20191015,587.1052631578947
20191016,574.7058823529412
20191017,584.1666666666666
20191018,586.060606060606
20191019,583.75
20191020,588.4615384615385
20191021,580.0
20191022,566.7741935483871
20191023,562.5
20191024,599.4029850746268
20191025,594.5283018867924
20191026,596.4814814814815
20191027,605.1063829787234
20191028,593.5135135135135
20191029,592.6086956521739
20191030,584.2857142857143
20191031,575.0
20191101,583.1428571428571
20191102,588.3333333333334
20191103,594.7272727272727
20191104,583.25
20191105,577.2222222222222
20191106,575.7142857142857
20191107,580.0
20191108,588.6
20191109,594.4897959183673
20191110,595.5
20191111,594.3333333333334
20191112,588.7037037037037
20191113,595.3448275862069
20191114,593.0769230769231
20191115,582.0
20191116,591.578947368421
20191117,588.75
20191118,586.6666666666666
20191119,572.5
20191120,574.1666666666666
20191121,573.0
20191122,549.1666666666666
20191123,545.925925925926
20191124,568.5
20191125,515.6666666666666
20191126,521.4705882352941
20191127,505.0
20191201,492.85714285714283
20191202,460.5263157894737
20191203,478.8888888888889
20191204,451.0
20191205,450.0
20191206,454.2857142857143
20191207,455.55555555555554
20191208,448.3333333333333
20191209,437.89473684210526
20191210,455.7894736842105
20191211,475.0
20191212,493.8666666666667
20191213,506.8181818181818
20191214,524.5
20191215,507.77777777777777
20191216,506.0
20191217,499.04761904761904
20191218,506.15384615384613
20191219,506.9230769230769
20191220,498.125
20191221,492.22222222222223
20191222,473.3333333333333
20191223,469.04761904761904
20191224,465.0
20191225,478.2352941176471
20191226,495.80645161290323
20191227,485.0
20191228,485.55555555555554
20191229,488.75
20191230,492.14285714285717
20191231,508.93617021276594
20200101,602.2222222222222
20200102,592.5
20200103,597.8571428571429
20200104,602.0
20200105,605.46875
20200106,610.4347826086956
20200107,622.4418604651163
20200108,642.8
20200109,645.0
20200110,647.0588235294117
20200111,658.5714285714286
20200112,660.0
20200113,665.2380952380952
20200114,694.8125
20200115,629.2307692307693
20200116,663.9090909090909
20200117,668.695652173913
20200118,679.8148148148148
20200119,667.9411764705883
20200120,675.0
20200121,672.2222222222222
20200122,688.7179487179487
20200123,771.5217391304348
20200124,815.0
20200125,778.8461538461538
20200126,766.4516129032259
20200127,775.1351351351351
20200128,780.2439024390244
20200129,786.0869565217391
20200130,791.3157894736842
20200131,808.7272727272727
20200201,834.9166666666666
20200202,823.125
20200203,824.1666666666666
20200204,832.2222222222222
20200205,836.6071428571429
20200206,862.0
20200207,856.1333333333333
20200208,877.6551724137931
20200209,875.0
20200210,853.8461538461538
20200211,871.4
20200212,871.2307692307693
20200213,890.0
20200214,852.24
20200215,892.5454545454545
20200216,888.2352941176471
20200217,870.625
20200218,869.1111111111111
20200219,866.15
20200220,887.7777777777778
20200221,884.7058823529412
20200222,888.8461538461538
20200223,892.9285714285714
20200224,890.0370370370371
20200225,894.1351351351351
20200226,895.7142857142857
20200227,902.2727272727273
20200228,905.4545454545455
20200229,896.3421052631579
20200301,912.4761904761905
20200302,878.1818181818181
20200303,884.1666666666666
20200304,866.9047619047619
20200305,888.75
20200306,889.6551724137931
20200307,899.1666666666666
20200308,899.5238095238095
20200309,893.5714285714286
20200310,882.9411764705883
20200311,885.7894736842105
20200312,899.2
20200313,896.0
20200314,893.1875
20200315,900.625
20200316,903.75
20200317,876.6666666666666
20200318,877.0
20200319,837.3684210526316
20200320,882.0
20200321,879.2307692307693
20200322,891.3333333333334
20200323,880.0
20200324,869.3333333333334
